datetime,open,high,low,close,volume
2025-12-01 03:08:00,13480000.0,13480546.0,13469631.0,13477900.0,0.41768795000000003
2025-12-01 03:09:00,13476697.0,13477900.0,13466642.0,13474894.0,1.43103008
2025-12-01 03:10:00,13474888.0,13474888.0,13460000.0,13465200.0,2.05044474
2025-12-01 03:11:00,13465003.0,13475004.0,13465000.0,13474658.0,1.29776937
2025-12-01 03:12:00,13476626.0,13480000.0,13467491.0,13479399.0,0.97868091
2025-12-01 03:13:00,13479664.0,13479664.0,13462724.0,13462724.0,0.48399268
2025-12-01 03:14:00,13462905.0,13470700.0,13451403.0,13459053.0,2.03154302
2025-12-01 03:15:00,13457599.0,13466592.0,13456389.0,13456389.0,2.12791585
2025-12-01 03:16:00,13462289.0,13462999.0,13444444.0,13451000.0,2.77022019
2025-12-01 03:17:00,13450891.0,13450891.0,13418491.0,13448797.0,4.0411344
